SAMPLE,SITE,SUBSITE,DATE,SEASON,GPS,PLAYBACK,START TIME,SPECIES,GROUP SIZE,TREATMENT,FLEE,ALARM,MOB,INTEREST,NUMBER ALARM,ALARMS/GS,MOBS,CALLS/GS,TOTAL VOCALIZATIONS,TOTAL/GS,DISTANCE (m),HEIGHT (m),HYPOTENUSE,LATENCY ALARM (s),NOTES
66,ISLAND,PRISONERS,07/26/2025,SUMMER,"34°0'56""N, 119°41'6""W",--,1250,ISSJ,1,HAWK,YES,YES,NO,NO,3,3.000,0,0.000,3,3.000,8.4,4,9.30,1.071,
67,ISLAND,PRISONERS,07/26/2025,SUMMER,"34°0'49""N, 119°41'12""W",--,1259,ISSJ,1,HAWK,YES,YES,NO,YES,2,2.000,0,0.000,2,2.000,16.5,1,16.53,1.224,
68,ISLAND,PRISONERS,07/26/2025,SUMMER,"34°00'47""N 119°41'10""W",--,1334,ISSJ,1,CONTROL,YES,NO,NO,YES,0,0.000,0,0.000,0,0.000,11.7,5,12.72,-,no alarm vocalizations
69,ISLAND,PRISONERS,07/26/2025,SUMMER,"34°0'21""N, 119°42'15""W",--,1353,ISSJ,2,HAWK,YES,YES,NO,YES,2,1.000,0,0.000,2,1.000,15.9,4.5,16.52,1.437,
88,ISLAND,PRISONERS,07/28/2025,SUMMER,"34°0'11""N, 119°42'30""W",--,739,ISSJ,1,CONTROL,NO,NO,NO,YES,0,0.000,0,0.000,0,0.000,22.5,0,22.50,-,
89,ISLAND,PRISONERS,07/28/2025,SUMMER,"34°0'14""N, 119°42'24""W",--,747,ISSJ,1,HAWK,YES,YES,YES,YES,1,1.000,13,13.000,14,14.000,13.8,6,15.05,2.724,recording has good sample of different mobbing calls
90,ISLAND,PRISONERS,07/28/2025,SUMMER,"34°0'16""N, 119°42'21""W",--,800,ISSJ,2,CONTROL,YES,NO,NO,NO,0,0.000,0,0.000,0,0.000,33,2,33.06,-,no alarm vocalizations
91,ISLAND,PRISONERS,07/28/2025,SUMMER,"34°0'23""N, 119°42'8""W",--,811,ISSJ,2,HAWK,YES,YES,NO,YES,2,1.000,0,0.000,2,1.000,22.4,3,22.60,3.074,only first two alarms are this group not the rest
92,ISLAND,PRISONERS,07/28/2025,SUMMER,"34°0'27""N, 119°42'0""W",--,818,ISSJ,3,CONTROL,YES,YES,NO,NO,5,1.667,0,0.000,5,1.667,12.3,5,13.28,1.092,
93,ISLAND,PRISONERS,07/28/2025,SUMMER,"34°0'27""N, 119°4'20""W",--,820,ISSJ,3,HAWK,YES,YES,NO,YES,11,3.667,0,0.000,11,3.667,22.1,4,22.46,0.596,THE FIRST TENISH ALARMS ARE FROM THIS GROUP
94,ISLAND,PRISONERS,07/28/2025,SUMMER,"34°0'36""N, 119°41'54""W",--,832,ISSJ,3,CONTROL,YES,NO,NO,YES,0,0.000,0,0.000,0,0.000,13.1,3,13.44,-,"good whisper noises, no alarm vocalizations"
95,ISLAND,PRISONERS,07/28/2025,SUMMER,"34°0'39""N, 119°41'52""W",--,838,ISSJ,5,HAWK,YES,YES,YES,YES,6,1.200,9,1.800,15,3.000,17,3,17.26,0.841,
96,ISLAND,PRISONERS,07/28/2025,SUMMER,"34°0'43""N, 119°41'45""W",--,843,ISSJ,5,CONTROL,YES,NO,NO,YES,0,0.000,0,0.000,0,0.000,21,2,21.10,-,no alarm vocalizations
97,ISLAND,PRISONERS,07/28/2025,SUMMER,"34°0'42""N, 119°41'37""W",--,920,ISSJ,2,HAWK,YES,YES,NO,YES,13,6.500,0,0.000,13,6.500,7.8,2,8.05,1.516,
98,ISLAND,PRISONERS,07/28/2025,SUMMER,"34°0'41""N, 119°41'42""W",--,926,ISSJ,2,CONTROL,YES,NO,NO,YES,0,0.000,0,0.000,0,0.000,19.3,4,19.71,-,no alarm vocalizations
99,ISLAND,PRISONERS,07/28/2025,SUMMER,"34°0'26""N, 119°41'57""W",--,945,ISSJ,6,HAWK,YES,YES,YES,YES,22,3.667,4,0.667,26,4.333,16.1,4,16.59,1.105,
100,ISLAND,PRISONERS,07/28/2025,SUMMER,--,--,1008,ISSJ,1,CONTROL,YES,NO,NO,YES,0,0.000,0,0.000,0,0.000,17.7,8,19.42,-,no alarm vocalizations
39,ISLAND,RIDGE,07/25/2025,SUMMER,"34°0'16""N, 119°44'51""W",--,1020,ISSJ,1,CONTROL,NO,NO,NO,YES,0,0.000,0,0.000,0,0.000,17,3.5,17.36,-,"Bushtits alarmed, no alarm vocalizations"
41,ISLAND,RIDGE,07/25/2025,SUMMER,"34°0'18""N, 119°44'52W",--,1040,ISSJ,1,CONTROL,YES,NO,NO,NO,0,0.000,0,0.000,0,0.000,16.5,9.5,19.04,-,no alarm vocalizations
71,ISLAND,RIDGE,07/27/2025,SUMMER,"34°0'23""N, 119°45'28""W",--,639,ISSJ,1,CONTROL,YES,NO,NO,YES,0,0.000,0,0.000,0,0.000,12.5,3,12.85,-,no alarm vocalizations
72,ISLAND,RIDGE,07/27/2025,SUMMER,"34°0'24""N, 119°45'36""W",--,648,ISSJ,3,CONTROL,YES,NO,NO,YES,0,0.000,0,0.000,0,0.000,15.7,2,15.83,-,no alarm vocalizations
73,ISLAND,RIDGE,07/27/2025,SUMMER,"34°0'23""N, 119°45'41""W",--,714,ISSJ,1,CONTROL,YES,NO,NO,YES,0,0.000,0,0.000,0,0.000,5.8,1.5,5.99,-,no alarm vocalizations
74,ISLAND,RIDGE,07/27/2025,SUMMER,"34°0'23""N, 119°45'41W",--,728,ISSJ,3,HAWK,YES,YES,YES,NO,5,1.667,2,0.667,7,2.333,11.5,4,12.18,1.139,
75,ISLAND,RIDGE,07/27/2025,SUMMER,"34°0'26""N, 119°46'2""W",--,743,ISSJ,2,CONTROL,YES,YES,YES,NO,5,2.500,1,0.500,6,3.000,8.5,4,9.39,6.11,"potential outlier, alarms super late?"
76,ISLAND,RIDGE,07/27/2025,SUMMER,"34°0'29""N, 119°46'5""W",--,758,ISSJ,1,HAWK,YES,YES,NO,NO,1,1.000,0,0.000,1,1.000,25.9,3,26.07,3.084,
77,ISLAND,RIDGE,07/27/2025,SUMMER,"34°0'29""N, 119°46'6""W",--,818,ISSJ,3,CONTROL,YES,YES,NO,YES,4,1.333,0,0.000,4,1.333,12.2,4,12.84,1.306,
78,ISLAND,RIDGE,07/27/2025,SUMMER,"34°0'31""N,119°46'18""W",--,836,ISSJ,1,HAWK,YES,YES,YES,YES,4,4.000,1,1.000,5,5.000,25.1,6,25.81,1.742,
79,ISLAND,RIDGE,07/27/2025,SUMMER,"34°0'32""N, 119°46'20""W",--,841,ISSJ,2,CONTROL,YES,NO,NO,NO,0,0.000,0,0.000,0,0.000,16.2,6,17.28,-,no alarm vocalizations
80,ISLAND,RIDGE,07/27/2025,SUMMER,--,--,915,ISSJ,1,HAWK,YES,NO,NO,YES,0,0.000,0,0.000,0,0.000,17.4,8,19.15,-,no alarm vocalizations
81,ISLAND,RIDGE,07/27/2025,SUMMER,"34°0'36""N, 119°46'25""W",--,932,ISSJ,3,CONTROL,YES,NO,NO,YES,0,0.000,0,0.000,0,0.000,12.5,10,16.01,-,no alarm vocalizations
82,ISLAND,RIDGE,07/27/2025,SUMMER,"34°0'34""N, 119°46'21""W",--,942,ISSJ,4,HAWK,YES,YES,NO,NO,21,5.250,0,0.000,21,5.250,15.7,7,17.19,0.66,
84,ISLAND,RIDGE,07/27/2025,SUMMER,"34°0'22""N, 119°45'31""W",--,1017,ISSJ,1,CONTROL,YES,YES,NO,NO,3,3.000,0,0.000,3,3.000,22.2,3,22.40,1.31,
85,ISLAND,RIDGE,07/27/2025,SUMMER,"34°0'54""N, 119°47'50""W",--,1050,ISSJ,2,HAWK,YES,YES,NO,NO,5,2.500,0,0.000,5,2.500,22.9,2,22.99,-,
